x y theta v w
0.618054 -0.489911 5.62295 0.378932 -0.126568
0.647187 -0.512533 5.60906 0.368851 -0.138905
0.675184 -0.534902 5.59382 0.358355 -0.152378
0.701996 -0.557003 5.57711 0.347469 -0.167143
0.727579 -0.578818 5.55877 0.336216 -0.18338
0.75189 -0.600331 5.53864 0.324623 -0.201291
0.774887 -0.621522 5.51653 0.312718 -0.221105
0.796532 -0.642371 5.49222 0.300533 -0.243079
0.816791 -0.662856 5.46547 0.288102 -0.267499
0.835629 -0.682953 5.436 0.275464 -0.294678
0.85302 -0.702638 5.40351 0.262662 -0.32495
0.868939 -0.721881 5.36764 0.249747 -0.358659
0.883367 -0.740655 5.32803 0.236776 -0.396136
0.896292 -0.758928 5.28426 0.22382 -0.437667
0.90771 -0.776668 5.23592 0.210961 -0.483435
0.917624 -0.793842 5.18257 0.198302 -0.533443
0.926049 -0.81042 5.12383 0.185968 -0.587405
0.933012 -0.826379 5.05937 0.174115 -0.644611
0.938553 -0.841701 4.989 0.162932 -0.703772
0.942722 -0.856386 4.91271 0.152648 -0.762896
0.945578 -0.870452 4.83078 0.143531 -0.819233
0.947183 -0.883944 4.74384 0.135874 -0.869383
0.947591 -0.896936 4.65288 0.12998 -0.909625
0.946841 -0.909526 4.55923 0.126126 -0.936481
0.944942 -0.921832 4.46449 0.124516 -0.947396
0.941869 -0.933973 4.37036 0.125246 -0.941321
0.937566 -0.946058 4.27846 0.128275 -0.91898
0.931956 -0.958164 4.1902 0.133433 -0.882684
0.924951 -0.970337 4.10662 0.14044 -0.835793
0.916469 -0.982583 4.02841 0.148966 -0.782035
0.906444 -0.99488 3.95592 0.158665 -0.724905
0.894829 -1.00719 3.88919 0.169219 -0.667295
0.881603 -1.01945 3.82806 0.180356 -0.611343
0.866763 -1.03161 3.77221 0.191856 -0.558467
0.850324 -1.04361 3.72126 0.203544 -0.509478
0.832312 -1.0554 3.67479 0.215289 -0.464735
0.812764 -1.06694 3.63236 0.226988 -0.424286
0.791723 -1.07818 3.59356 0.238564 -0.387977
0.769238 -1.0891 3.55801 0.249954 -0.355543
0.745358 -1.09966 3.52534 0.261109 -0.326662
0.720138 -1.10985 3.49524 0.271988 -0.300996
0.693631 -1.11963 3.46742 0.282554 -0.278214
0.665893 -1.129 3.44162 0.292778 -0.258003
0.636982 -1.13795 3.41761 0.302632 -0.240078
0.606954 -1.14645 3.3952 0.312091 -0.224184
0.575869 -1.15451 3.37419 0.321131 -0.210092
0.543783 -1.16211 3.35443 0.329731 -0.197603
0.510758 -1.16925 3.33577 0.337873 -0.186543
0.476854 -1.17591 3.3181 0.345539 -0.176758
0.442131 -1.18211 3.30128 0.35271 -0.168118
0.406651 -1.18782 3.28523 0.359373 -0.160509
0.370476 -1.19305 3.26985 0.365513 -0.153833
0.333669 -1.1978 3.25505 0.371118 -0.148006
0.296293 -1.20206 3.24075 0.376175 -0.142956
0.258413 -1.20583 3.22689 0.380675 -0.138623
0.220092 -1.20911 3.2134 0.384608 -0.134955
0.181395 -1.21189 3.20021 0.387968 -0.13191
0.165895 -1.2128 3.18726 0.155262 -0.129454
0.16588 -1.2128 3.1745 0.000157554 -0.127557
0.16588 -1.2128 3.16188 1.43141e-08 -0.1262
0.16588 -1.2128 3.14935 9.61032e-08 -0.125368
0.16588 -1.2128 3.13684 2.17766e-07 -0.12505
0.16588 -1.2128 3.12432 3.18601e-07 -0.125245
0.16588 -1.2128 3.11172 3.79621e-07 -0.125953
0.16588 -1.2128 3.099 4.06298e-07 -0.127183
0.16588 -1.2128 3.08611 4.09254e-07 -0.128948
0.16588 -1.2128 3.07298 3.97497e-07 -0.131268
0.165879 -1.2128 3.05957 3.77317e-07 -0.134169
0.165879 -1.2128 3.0458 3.52752e-07 -0.137683
0.165879 -1.2128 3.03161 3.26278e-07 -0.141852
0.165879 -1.2128 3.01694 2.99343e-07 -0.146725
0.165879 -1.2128 3.0017 2.7275e-07 -0.152359
0.165879 -1.2128 2.98582 2.46893e-07 -0.158824
0.165879 -1.2128 2.9692 2.21909e-07 -0.166201
0.165879 -1.2128 2.95174 1.97776e-07 -0.174583
0.165879 -1.2128 2.93333 1.74362e-07 -0.184082
