x y theta v w
0.874681 -1.077 3.72123 0.231668 -0.486259
0.854599 -1.08947 3.67476 0.241128 -0.443689
0.833149 -1.10151 3.63233 0.250753 -0.40536
0.810367 -1.1131 3.59354 0.260457 -0.37105
0.786288 -1.12426 3.55799 0.270163 -0.340459
0.760951 -1.13496 3.52532 0.279803 -0.313251
0.734397 -1.14521 3.49522 0.289318 -0.289089
0.706668 -1.155 3.4674 0.298655 -0.267649
0.677809 -1.16433 3.44161 0.307764 -0.248632
0.647865 -1.17319 3.4176 0.316604 -0.231769
0.616884 -1.18158 3.39518 0.325136 -0.216816
0.584917 -1.1895 3.37417 0.333326 -0.203561
0.552014 -1.19695 3.35441 0.341141 -0.191817
0.518228 -1.20391 3.33576 0.348556 -0.181422
0.483613 -1.2104 3.31809 0.355543 -0.172233
0.448224 -1.2164 3.30127 0.362079 -0.164128
0.412118 -1.22191 3.28522 0.368146 -0.157003
0.375353 -1.22694 3.26984 0.373723 -0.150766
0.337988 -1.23147 3.25504 0.378795 -0.145341
0.300081 -1.23551 3.24074 0.383347 -0.14066
0.261695 -1.23906 3.22688 0.387365 -0.136669
0.22289 -1.24211 3.21339 0.39084 -0.13332
0.183728 -1.24467 3.2002 0.393762 -0.130575
0.144273 -1.24673 3.18725 0.396122 -0.128403
0.104586 -1.24829 3.1745 0.397916 -0.12678
0.0647327 -1.24934 3.16188 0.399137 -0.125688
0.0247754 -1.2499 3.14934 0.399783 -0.125115
-0.0152215 -1.24996 3.13683 0.399852 -0.125054
-0.055194 -1.24952 3.12431 0.399343 -0.125504
-0.0950782 -1.24858 3.11171 0.398259 -0.126472
-0.13481 -1.24714 3.099 0.396603 -0.127967
-0.174327 -1.24521 3.0861 0.394377 -0.130005
-0.213564 -1.24277 3.07297 0.391589 -0.13261
-0.25246 -1.23984 3.05956 0.388245 -0.135812
-0.290952 -1.23641 3.04579 0.384356 -0.139646
-0.328979 -1.23248 3.0316 0.37993 -0.144157
-0.366479 -1.22807 3.01693 0.374981 -0.149399
-0.403393 -1.22316 3.00169 0.369523 -0.155436
-0.439662 -1.21776 2.98581 0.363572 -0.162341
-0.475227 -1.21188 2.96919 0.357146 -0.170202
-0.510032 -1.20551 2.95173 0.350264 -0.179122
-0.544021 -1.19866 2.93332 0.34295 -0.189217
-0.57714 -1.19132 2.91384 0.335228 -0.200625
-0.609335 -1.18352 2.89314 0.327125 -0.213502
-0.640556 -1.17524 2.87108 0.318672 -0.228031
-0.670752 -1.16649 2.84747 0.309902 -0.244417
-0.699875 -1.15727 2.82212 0.300853 -0.262896
-0.727878 -1.14759 2.7948 0.291567 -0.283731
-0.754717 -1.13745 2.76527 0.28209 -0.307214
-0.780348 -1.12685 2.73325 0.272474 -0.333664
-0.804731 -1.11581 2.69842 0.262778 -0.363416
-0.827826 -1.10432 2.66043 0.253067 -0.396808
-0.849598 -1.09239 2.61891 0.243416 -0.434153
-0.87001 -1.08002 2.57345 0.233908 -0.475696
-0.88903 -1.06721 2.52361 0.224638 -0.521551
-0.906628 -1.05398 2.46897 0.215711 -0.571608
-0.922775 -1.04033 2.40914 0.207245 -0.62541
-0.937447 -1.02627 2.34377 0.199371 -0.682008
-0.950618 -1.01179 2.27266 0.192229 -0.739811
-0.962269 -0.996909 2.19581 0.185967 -0.796483
-0.97238 -0.981629 2.11347 0.180733 -0.848944
-0.980936 -0.965956 2.02624 0.176672 -0.893574
-0.987923 -0.949896 1.9351 0.173907 -0.926651
-0.993329 -0.933457 1.84136 0.172538 -0.944996
-0.997146 -0.916644 1.74661 0.172622 -0.94665
-0.999367 -0.899465 1.65255 0.174175 -0.931349
-0.99999 -0.881925 1.56081 0.177164 -0.900591
-0.999013 -0.864033 1.4728 0.181518 -0.857266
-0.996438 -0.845796 1.3896 0.18713 -0.805005
-0.992269 -0.82722 1.31193 0.193873 -0.747512
-0.986513 -0.808313 1.24013 0.201606 -0.688051
-0.979178 -0.789083 1.17426 0.210188 -0.629177
-0.970276 -0.769538 1.11417 0.219482 -0.572686
-0.959823 -0.749684 1.05957 0.229358 -0.519694
-0.947834 -0.729531 1.01007 0.239698 -0.470782
-0.934329 -0.709086 0.965245 0.250392 -0.426143
-0.919329 -0.688357 0.924674 0.261345 -0.385711
-0.902858 -0.667353 0.887946 0.272469 -0.349269
-0.884943 -0.646082 0.854677 0.283688 -0.316511
-0.865612 -0.624552 0.824513 0.294931 -0.287101
-0.844896 -0.602773 0.797139 0.306137 -0.260693
-0.822829 -0.580753 0.77227 0.31725 -0.236959
-0.799445 -0.5585 0.749653 0.328219 -0.215592
-0.774782 -0.536024 0.729068 0.338999 -0.196313
-0.74888 -0.513334 0.710317 0.349548 -0.178874
-0.72178 -0.490438 0.693228 0.359828 -0.163052
-0.693525 -0.467346 0.677649 0.369805 -0.148651
-0.664161 -0.444067 0.663447 0.379447 -0.135499
-0.633734 -0.42061 0.650504 0.388724 -0.123444
-0.602293 -0.396986 0.638718 0.397609 -0.112354
-0.569889 -0.373202 0.627998 0.406079 -0.102111
-0.536573 -0.349269 0.618264 0.414109 -0.092613
-0.502399 -0.325197 0.609447 0.42168 -0.0837691
-0.46742 -0.300994 0.601486 0.428771 -0.075499
-0.431695 -0.276671 0.594326 0.435366 -0.0677312
-0.395278 -0.252238 0.587921 0.441448 -0.0604022
-0.358229 -0.227703 0.582229 0.447002 -0.0534548
-0.320607 -0.203078 0.577215 0.452017 -0.0468376
-0.282473 -0.178371 0.572849 0.45648 -0.0405038
-0.243886 -0.153592 0.569104 0.460381 -0.0344107
-0.204909 -0.128753 0.565958 0.463712 -0.0285187
-0.165604 -0.103862 0.563392 0.466465 -0.0227912
-0.126035 -0.0789291 0.561393 0.468633 -0.0171936
-0.0862633 -0.0539649 0.559949 0.470213 -0.0101212
-0.046354 -0.028979 0.559365 0.470855 -0.00583359
